STU_ID,female,race,firstgen,prnt_female_edu,prnt_male_edu,prnt_female_occ,prnt_male_occ,self_concept_ability_math,math_teacher_gender,teach_math_9_12,teachers_high_standards,teacher_emphasize_interest,teacher_emphasize_prepare,teacher_emphasize_business,teacher_emphasize_standtest,math_mentor_pairing,math_afterschool_program,credits_stem,gpa_stem
10302,0,3,1,1,1,0,0,2.75,1,2,3,3,4,2,2,NA,NA,4,3
10304,0,1,0,2,NA,0,0,2,0,1,NA,NA,NA,NA,NA,0,0,4,2.5
10305,1,1,1,1,NA,0,0,2.25,0,3,1,3,3,2,3,0,1,2,1
10306,1,1,1,1,NA,0,0,3.25,1,1,1,3,3,3,3,1,1,2.5,3.5
10307,0,1,1,1,NA,0,0,3.25,0,2,1,4,4,4,4,NA,NA,2,0.5
10308,0,3,1,1,NA,0,0,1.75,0,2,2,4,2,4,4,0,0,2,1
10311,0,3,0,2,NA,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2.5
10314,1,1,1,1,NA,0,0,2.25,1,3,2,4,4,4,3,0,0,2,2.5
10316,1,1,0,2,NA,0,0,1.75,1,3,1,3,4,3,2,1,1,5,4
10318,0,1,0,1,NA,0,0,1,3,NA,NA,NA,NA,NA,NA,0,1,3.5,2.5
10322,0,1,0,3,2,0,1,2.5,0,2,3,2,4,3,4,0,1,4,3
10323,1,1,0,2,1,0,0,2,3,NA,NA,NA,NA,NA,NA,1,1,4,1.5
10324,1,1,0,2,NA,1,0,2.25,1,2,2,3,3,3,3,0,1,2.5,1.5
10325,0,1,1,1,NA,0,0,1,0,2,2,3,4,2,4,0,1,4,4
10326,1,5,0,3,3,0,1,1,3,NA,NA,NA,NA,NA,NA,0,1,5,4
10327,0,1,1,1,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,0,0,2.5,1.5
10330,0,1,0,1,2,0,0,2,3,NA,NA,NA,NA,NA,NA,0,0,4.5,3
10331,1,1,0,1,NA,0,0,2.25,1,2,1,3,3,2,3,0,0,4,3
10332,0,1,0,2,1,0,1,1,3,NA,NA,NA,NA,NA,NA,0,1,3,2.5
10334,1,1,0,3,NA,0,0,2.25,1,2,1,3,3,3,4,0,0,3,2
10335,1,1,1,1,NA,0,0,1.75,1,3,2,NA,NA,NA,NA,0,1,3,3
10336,0,1,0,2,NA,0,0,2,1,2,1,3,2,2,3,1,1,4,2
10339,0,2,0,2,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1.5
10340,0,1,1,1,NA,0,0,2.5,0,3,1,3,3,2,3,0,1,4,1.5
10341,0,2,1,1,NA,0,0,1,1,2,2,NA,NA,NA,NA,0,0,2,0.5
10343,0,1,1,1,NA,0,0,1.75,1,3,NA,NA,NA,NA,NA,1,0,3.5,3
10346,0,5,0,2,1,1,0,2.25,3,NA,NA,NA,NA,NA,NA,0,0,2.5,1.5
10348,0,1,0,2,2,0,0,2.5,0,3,1,3,4,4,4,0,1,4,3
10350,1,1,0,2,1,0,0,3,3,NA,NA,NA,NA,NA,NA,0,1,4,2.5
